NPSCompany,NPSIndustry,NPSScore,FortuneYear,FortuneRank,FortuneCompany,FortuneRevenue($ millions),FortuneProfit($ millions)
Tupperware Brands,Household and Personal Products,4,2014,307,Group 1 Automotive,8919,114
Westar Energy,Utilities: Gas and Electric,-8,2014,308,Cognizant Technology Solutions,8843,1229
Albemarle,Chemicals,-4,2014,309,Sonic Automotive,8843,82
AptarGroup,"Packaging, Containers",4,2014,310,Autoliv,8803,486
Pinnacle Foods,Food Consumer Products,11,2014,311,Hormel Foods,8752,526
Penn National Gaming,"Hotels, Casinos, Resorts",-3,2014,312,Motorola Solutions,8696,1099
J.Crew Group,Specialty Retailers: Apparel,7,2014,313,Crown Holdings,8656,324
Vantiv,Financial Data Services,15,2014,314,SunTrust Banks,8602,1344
Caleres,Specialty Retailers: Apparel,-4,2014,315,Campbell Soup,8584,458
Nu Skin Enterprises,Household and Personal Products,-2,2014,316,Fidelity National Financial,8573,402
Great Plains Energy,Utilities: Gas and Electric,-5,2014,317,HD Supply Holdings,8569,-218
Kirby,zMiscellaneous,-9,2014,318,Caesars Entertainment,8563,-2948
General Growth Properties,Real estate,5,2014,319,Darden Restaurants,8552,412
Broadridge Financial Solutions,Financial Data Services,-6,2014,320,Weyerhaeuser,8529,563
Stericycle,Waste Management,16,2014,321,Ball,8468,407
Global Payments,Financial Data Services,11,2014,322,Precision Castparts,8463,1427
Nortek,Industrial Machinery,4,2014,323,Masco,8438,272
Schnitzer Steel Industries,Metals,-1,2014,324,Universal Health Services,8419,511
Universal,Tobacco,-3,2014,325,Republic Services,8417,589
ANN,Specialty Retailers: Apparel,12,2014,326,MasterCard,8346,3116
Hologic,Medical Products and Equipment,15,2014,327,Newmont Mining,8322,-2462
Panera Bread,Food Services,6,2014,328,Broadcom,8305,424
AOL,Internet Services and Retailing,0,2014,329,Reynolds American,8236,1718
SM Energy,"Mining, Crude-Oil Production",-7,2014,330,PVH,8186,144
Paychex,Diversified Outsourcing Services,-10,2014,331,Charter Communications,8155,-169
PriceSmart,Specialty Retailers: Other,8,2014,332,AECOM Technology,8154,239
Autodesk,Computer Software,14,2014,333,CenterPoint Energy,8106,311
Affiliated Managers Group,Securities,5,2014,333,Pacific Life,8106,720
Tops Holding,Food and Drug Stores,10,2014,335,Thrivent Financial for Lutherans,8101,414
Dynegy,Energy,-2,2014,336,Becton Dickinson,8074,1293
DSW,Specialty Retailers: Apparel,5,2014,337,Franklin Resources,7985,2150
Vishay Intertechnology,Semiconductors and Other Electronic Components,6,2014,338,Tenneco,7964,183
Mettler-Toledo International,"Scientific,Photographic and Control Equipment",9,2014,339,TravelCenters of America,7963,17
SunEdison,Semiconductors and Other Electronic Components,-8,2014,340,Avis Budget Group,7937,16
Tetra Tech,"Engineering, Construction",-3,2014,341,Facebook,7872,1500
Momentive Performance Materials,Chemicals,1,2014,342,Dollar Tree,7840,597
EnerSys,"Electronics, Electrical Equip.",-6,2014,343,Corning,7819,1961
Donaldson,Industrial Machinery,5,2014,344,Ashland,7813,683
EQT,Energy,6,2014,345,Sealed Air,7780,124
Monster Beverage,Beverages,9,2014,346,Core-Mark Holding,7717,42
PC Connection,Specialty Retailers: Other,-6,2014,347,Oshkosh,7686,318
Total System Services,Financial Data Services,-9,2014,348,Coca-Cola Enterprises,7657,667
ServiceMaster Global Holdings,Diversified Outsourcing Services,-1,2014,349,Wesco International,7513,276
Medical Mutual of Ohio,"Insurance: Life, Health (Mutual)",-3,2014,350,Applied Materials,7509,256
Applied Industrial Technologies,Wholesalers: Diversified,8,2014,351,Visteon,7439,690
Maxim Integrated Products,Semiconductors and Other Electronic Components,-7,2014,352,BorgWarner,7437,624
OGE Energy,Utilities: Gas and Electric,-3,2014,353,Spectrum Group International,7406,3
A. Schulman,Chemicals,-6,2014,354,Oaktree Capital Group,7405,222
Equinix,Telecommunications,13,2014,355,Steel Dynamics,7373,189
Mednax,Health Care: Pharmacy and Other Services,0,2014,356,Jarden,7356,204
Equifax,Financial Data Services,-1,2014,357,Mohawk Industries,7349,349
Standard Pacific,Homebuilders,2,2014,358,Terex,7310,226
Denbury Resources,"Mining, Crude-Oil Production",13,2014,359,Northeast Utilities,7301,786
Cimarex Energy,"Mining, Crude-Oil Production",2,2014,360,KBR,7283,229
Mutual of America Life Insurance,"Insurance: Life, Health (Mutual)",-4,2014,361,Fifth Third Bancorp,7200,1836
Guess,Apparel,-4,2014,362,UGI,7195,278
Post Holdings,Food Consumer Products,13,2014,363,CBRE Group,7194,317
HealthSouth,Health Care: Medical Facilities,14,2014,364,Quest Diagnostics,7174,849
Ferrellgas Partners,Energy,-3,2014,365,Peabody Energy,7150,-525
Boston Properties,Real estate,4,2014,366,Hershey,7146,821
Trimble Navigation,"Scientific,Photographic and Control Equipment",9,2014,367,Boston Scientific,7143,-121
Teledyne Technologies,"Scientific,Photographic and Control Equipment",15,2014,368,FMC Technologies,7126,501
Acuity Brands,"Electronics, Electrical Equip.",16,2014,369,Interpublic Group,7122,268
Skechers U.S.A.,Apparel,3,2014,370,Commercial Metals,7047,77
Xilinx,Semiconductors and Other Electronic Components,6,2014,371,Pantry,7013,-3
Plexus,Semiconductors and Other Electronic Components,15,2014,372,Owens-Illinois,6967,184
Newfield Exploration,"Mining, Crude-Oil Production",6,2014,373,American Family Insurance Group,6954,379
TransDigm Group,Aerospace and Defense,-2,2014,374,Ralph Lauren,6945,750
Kar Auction Services,Wholesalers: Diversified,13,2014,375,Biogen Idec,6932,1862
Mueller Industries,Industrial Machinery,9,2014,376,PetSmart,6917,420
Zions Bancorp.,Commercial Banks,-6,2014,377,Mylan,6909,624
Insperity,Diversified Outsourcing Services,3,2014,378,Symantec,6906,765
XPO Logistics,Transportation and Logistics,11,2014,379,Ameren,6875,289
Sears Hometown & Outlet Stores,Specialty Retailers: Other,9,2014,380,Williams,6860,430
A.O. Smith,"Electronics, Electrical Equip.",-5,2014,381,Barnes & Noble,6839,-158
Alliance One International,Tobacco,7,2014,382,Huntington Ingalls Industries,6820,261
Take-Two Interactive Software,Computer Software,-8,2014,383,Priceline Group,6793,1893
hhgregg,Specialty Retailers: Other,-5,2014,384,Agilent Technologies,6782,724
RPC,"Oil and Gas Equipment, Services",6,2014,385,Dana Holding,6769,244
NewMarket,Chemicals,3,2014,386,Dillard's,6692,324
Beacon Roofing Supply,Wholesalers: Diversified,8,2014,387,Seaboard,6670,205
Edwards Lifesciences,Medical Products and Equipment,14,2014,388,Vanguard Health Systems,6667,62
Triple-S Management,Health Care: Insurance and Managed Care,12,2014,389,Casey's General Stores,6655,111
Hawaiian Holdings,Airlines,6,2014,390,O'Reilly Automotive,6649,670
Heartland Payment Systems,Financial Data Services,0,2014,391,Blackstone Group,6613,1171
Belden,"Electronics, Electrical Equip.",-8,2014,392,Mutual of Omaha Insurance,6602,359
Magellan Midstream Partners,Pipelines,-10,2014,393,Molina Healthcare,6589,53
Outerwall,Specialty Retailers: Other,-5,2014,394,CMS Energy,6566,452
KapStone Paper & Packaging,"Packaging, Containers",1,2014,395,Targa Resources,6556,65
Alliance Holdings,"Mining, Crude-Oil Production",-4,2014,396,Quanta Services,6523,402
Skyworks Solutions,Semiconductors and Other Electronic Components,7,2014,397,Cablevision Systems,6522,466
Ciena,Network and Other Communications Equipment,5,2014,398,Avery Dennison,6520,216
Granite Construction,"Engineering, Construction",13,2014,399,Celanese,6510,1101
Education Management,Education,62,2014,400,Foot Locker,6505,429
Party City Holdings,Specialty Retailers: Other,13,2014,401,Celgene,6494,1450
HCP,Real estate,16,2014,402,Advance Auto Parts,6494,392
Parexel International,Health Care: Pharmacy and Other Services,0,2014,403,Mattel,6485,904
Delta Tucker Holdings,Aerospace and Defense,-6,2014,404,Live Nation Entertainment,6479,-43
Pinnacle Entertainment,"Hotels, Casinos, Resorts",12,2014,405,General Cable,6421,-18
Stifel Financial,Securities,-3,2014,406,Ryder System,6419,238
Pool,Wholesalers: Diversified,16,2014,407,Emcor Group,6417,124
Olin,Chemicals,5,2014,408,Allergan,6415,985
Knights of Columbus,"Insurance: Life, Health (Mutual)",6,2014,409,W.R. Berkley,6409,500
PerkinElmer,"Scientific,Photographic and Control Equipment",2,2014,410,Rockwell Automation,6352,756
Alexion Pharmaceuticals,Pharmaceuticals,-5,2014,411,NetApp,6332,505
IHS,Financial Data Services,-4,2014,412,Ingredion,6328,396
Oil States International,"Oil and Gas Equipment, Services",7,2014,413,Level 3 Communications,6313,-109
HNI,"Home Equipment, Furnishings",13,2014,414,Calpine,6301,14
LinkedIn,Internet Services and Retailing,5,2014,415,Omnicare,6277,-43
Diplomat Pharmacy,Food and Drug Stores,-6,2014,416,Erie Insurance Group,6271,163
Brocade Communications Systems,Network and Other Communications Equipment,11,2014,417,SLM,6263,1418
Greenbrier Cos.,Transportation Equipment,-5,2014,418,D.R. Horton,6259,463
AMC Networks,Entertainment,13,2014,419,CC Media Holdings,6243,-607
Kemper,Insurance: Property and Casualty (Stock),-2,2014,420,Anixter International,6227,201
Ocwen Financial,Diversified Financials,4,2014,421,Dick's Sporting Goods,6213,338
TriNet Group,Diversified Outsourcing Services,-7,2014,422,SanDisk,6170,1043
Chemtura,Chemicals,8,2014,423,NCR,6123,443
Symetra Financial,"Insurance: Life, Health (stock)",-8,2014,424,Starwood Hotels & Resorts,6115,635
Tower International,Motor Vehicles and Parts,10,2014,425,Expeditors International of Washington,6080,349
Meritage Homes,Homebuilders,7,2014,426,Fidelity National Information Services,6071,493
MarkWest Energy Partners,Pipelines,6,2014,427,United Natural Foods,6064,108
Bio-Rad Laboratories,Medical Products and Equipment,11,2014,428,Auto-Owners Insurance,6062,579
TrueBlue,Temporary Help,1,2014,429,Windstream Holdings,6005,241
Cabot Oil & Gas,"Mining, Crude-Oil Production",10,2014,430,Dr Pepper Snapple Group,5997,624
Carpenter Technology,Metals,2,2014,431,Lennar,5935,480
Toro,Construction and Farm Machinery,-1,2014,432,Sanmina,5917,79
American Equity Investment Life Holding,"Insurance: Life, Health (stock)",9,2014,433,Harley-Davidson,5900,734
Express,Specialty Retailers: Apparel,12,2014,434,Consol Energy,5899,660
Eastman Kodak,"Scientific,Photographic and Control Equipment",0,2014,435,J.M. Smucker,5898,544
Hain Celestial Group,Food Consumer Products,3,2014,436,Newell Rubbermaid,5887,475
Nationstar Mortgage Holdings,Diversified Financials,-10,2014,437,CH2M Hill,5878,118
IDEX,Industrial Machinery,-4,2014,438,Energy Future Holdings,5850,-2587
Popular,Commercial Banks,13,2014,439,Susser Holdings,5831,14
Werner Enterprises,"Trucking, Truck Leasing",2,2014,440,Laboratory Corp. of America,5808,574
Esterline Technologies,Aerospace and Defense,4,2014,441,Kindred Healthcare,5794,-169
Intuitive Surgical,Medical Products and Equipment,0,2014,442,Leidos Holdings,5788,164
Allison Transmission Holdings,Motor Vehicles and Parts,7,2014,443,Booz Allen Hamilton Holding,5758,219
SemGroup,Pipelines,-5,2014,444,Jones Financial,5716,674
Southwest Gas,Utilities: Gas and Electric,14,2014,445,Cliffs Natural Resources,5691,414
G-III Apparel Group,Apparel,5,2014,446,PulteGroup,5680,2620
National Fuel Gas,Utilities: Gas and Electric,6,2014,447,Regions Financial,5665,1122
H.B. Fuller,Chemicals,-8,2014,448,NiSource,5660,532
Penn Mutual Life Insurance,"Insurance: Life, Health (stock)",11,2014,449,Graybar Electric,5659,81
RCS Capital,Securities,-6,2014,450,Integrys Energy Group,5636,352
Columbia Sportswear,Apparel,1,2014,451,Clorox,5623,572
Amica Mutual Insurance,Insurance: Property and Casualty (Mutual),-10,2014,452,Wynn Resorts,5621,729
Primoris Services,"Engineering, Construction",4,2014,453,Andersons,5605,90
Energen,"Mining, Crude-Oil Production",-1,2014,454,J.B. Hunt Transport Services,5585,342
Rexnord,Industrial Machinery,2,2014,455,AK Steel Holding,5570,-47
Seventy Seven Energy,"Oil and Gas Equipment, Services",-4,2014,456,Harbinger Group,5543,-46
Waste Connections,Waste Management,0,2014,457,MeadWestvaco,5543,839
"Pep Boys-Manny, Moe & Jack",Specialty Retailers: Other,11,2014,458,Western Union,5542,798
Harsco,Metals,16,2014,459,Charles Schwab,5539,1071
Hovnanian Enterprises,Homebuilders,1,2014,460,Discovery Communications,5535,1075
Willbros Group,"Oil and Gas Equipment, Services",2,2014,461,Spectra Energy,5518,1038
Wendy's,Food Services,7,2014,462,St. Jude Medical,5501,723
Synopsys,Computer Software,9,2014,463,CF Industries Holdings,5475,1465
Universal American,Health Care: Insurance and Managed Care,-7,2014,464,Con-way,5473,99
AAR,Aerospace and Defense,-7,2014,465,Old Republic International,5443,448
Selective Insurance Group,Insurance: Property and Casualty (Stock),-6,2014,466,JetBlue Airways,5441,168
Gartner,Information Technology Services,-3,2014,467,Calumet Specialty Products,5421,4
E*Trade Financial,Securities,-6,2014,468,Kelly Services,5413,59
,,,2014,469,Domtar,5391,91
,,,2014,470,Murphy Oil,5390,1124
,,,2014,471,Harris,5371,113
,,,2014,472,Asbury Automotive Group,5339,109
,,,2014,473,Big Lots,5302,125
,,,2014,474,Advanced Micro Devices,5299,-83
,,,2014,475,Owens Corning,5295,204
,,,2014,476,Realogy Holdings,5289,438
,,,2014,477,Host Hotels & Resorts,5270,317
,,,2014,478,MRC Global,5231,152
,,,2014,479,Simon Property Group,5170,1320
,,,2014,480,Tractor Supply,5165,328
,,,2014,481,Gannett,5161,389
,,,2014,482,Alaska Air Group,5156,508
,,,2014,483,Insight Enterprises,5144,71
,,,2014,484,McGraw Hill Financial,5143,1376
,,,2014,485,Buckeye Partners,5110,160
,,,2014,486,Quintiles Transnational Holdings,5100,227
,,,2014,487,American Financial Group,5092,471
,,,2014,488,United Stationers,5085,123
,,,2014,489,Coach,5075,1034
,,,2014,490,LKQ,5063,312
,,,2014,491,Noble Energy,5052,978
,,,2014,492,Bemis,5030,213
,,,2014,493,Joy Global,5013,534
,,,2014,494,Wyndham Worldwide,5009,432
,,,2014,495,NII Holdings,4978,-1650
,,,2014,496,Lorillard,4972,1180
,,,2014,497,Alleghany,4972,628
,,,2014,498,Airgas,4958,341
,,,2014,499,First American Financial,4956,186
,,,2014,500,United Rentals,4955,387
,,,2015,1,Walmart,485651,16363
,,,2015,2,Exxon Mobil,382597,32520
,,,2015,3,Chevron,203784,19241
,,,2015,4,Berkshire Hathaway,194673,19872
,,,2015,5,Apple,182795,39510
,,,2015,6,General Motors,155929,3949
,,,2015,7,Phillips 66,149434,4762
,,,2015,8,General Electric,148321,15233
,,,2015,9,Ford Motor,144077,3187
,,,2015,10,CVS Health,139367,4644
,,,2015,11,McKesson,138030,1263
,,,2015,12,AT&T,132447,6224
,,,2015,13,Valero Energy,130844,3630
,,,2015,14,UnitedHealth Group,130474,5619
,,,2015,15,Verizon,127079,9625
,,,2015,16,AmerisourceBergen,119569,277
,,,2015,17,Fannie Mae,116461,14208
,,,2015,18,Costco,112640,2058
,,,2015,19,HP,111454,5013
,,,2015,20,Kroger,108465,1728
,,,2015,21,JP Morgan Chase,102102,21762
,,,2015,22,Express Scripts Holding,100887,2008
,,,2015,23,Bank of America Corp.,95181,4833
,,,2015,24,IBM,94128,12022
,,,2015,25,Marathon Petroleum,91417,2524
,,,2015,26,Cardinal Health,91084,1166
,,,2015,27,Boeing,90762,5446
,,,2015,28,Citigroup,90646,7313
,,,2015,29,Amazon.com,88988,-241
,,,2015,30,Wells Fargo,88372,23057
,,,2015,31,Microsoft,86833,22074
,,,2015,32,Procter & Gamble,84537,11643
,,,2015,33,Home Depot,83176,6345
,,,2015,34,Archer Daniels Midland,81201,2248
,,,2015,35,Walgreens,76392,1932
,,,2015,36,Target,74520,-1636
,,,2015,37,Johnson & Johnson,74331,16323
,,,2015,38,Anthem,73874,2570
,,,2015,39,MetLife,73316,6309
,,,2015,40,Alphabet,71487,14444
,,,2015,41,State Farm Insurance Cos.,71160,4191
,,,2015,42,Freddie Mac,69367,7690
,,,2015,43,Comcast,68775,8380
,,,2015,44,PepsiCo,66683,6513
,,,2015,45,United Technologies,65100,6220
,,,2015,46,AIG,64406,7529
,,,2015,47,UPS,58232,3032
,,,2015,48,Dow Chemical,58167,3772
,,,2015,49,Aetna,58003,2041
,,,2015,50,Loweâ€™s,56223,2698
,,,2015,51,ConocoPhillips,55997,6869
,,,2015,52,Intel,55870,11704
,,,2015,53,Energy Transfer Equity,55691,633
,,,2015,54,Caterpillar,55184,3695
,,,2015,55,Prudential Financial,54123,1381
,,,2015,56,Pfizer,49605,9135
,,,2015,57,Disney,48813,7501
,,,2015,58,Humana,48500,1147
,,,2015,59,Enterprise Products Partners,47951,2787
,,,2015,60,Cisco Systems,47142,7853
,,,2015,61,Sysco,46517,932
,,,2015,62,Ingram Micro,46487,267
,,,2015,63,Coca-Cola,45998,7098
,,,2015,64,Lockheed Martin,45600,3614
,,,2015,65,FedEx,45567,2097
,,,2015,66,Johnson Controls,43855,1215
,,,2015,67,Plains GP Holdings,43464,70
,,,2015,68,World Fuel Services,43386,222
,,,2015,69,CHS,42664,1081
,,,2015,70,American Airlines Group,42650,2882
,,,2015,71,Merck,42237,11920
,,,2015,72,Best Buy,41903,1233
,,,2015,73,Delta Air Lines,40362,659
,,,2015,74,Honeywell International,40306,4239
,,,2015,75,HCA Holdings,40087,1875
,,,2015,76,Goldman Sachs Group,40085,8477
,,,2015,77,Tesoro,40052,843
,,,2015,78,Liberty Mutual Insurance Group,39796,1833
,,,2015,79,United Continental Holdings,38901,1132
,,,2015,80,New York Life Insurance,38680,1602
,,,2015,81,Oracle,38275,10955
,,,2015,82,Morgan Stanley,37953,3467
,,,2015,83,Tyson Foods,37580,864
,,,2015,84,Safeway,36643,113
,,,2015,85,Nationwide,36257,432
,,,2015,86,Deere,36067,3162
,,,2015,87,DuPont,36046,3625
,,,2015,88,American Express,35999,5885
,,,2015,89,Allstate,35239,2850
,,,2015,90,Cigna,34914,2102
,,,2015,91,Mondelez International,34244,2184
,,,2015,92,TIAA-CREF,34230,967
,,,2015,93,INTL FCStone,34063,19
,,,2015,94,Massachusetts Mutual Life Insurance,33572,1327
,,,2015,95,DirecTV,33260,2756
,,,2015,96,Halliburton,32870,3500
,,,2015,97,Fox,31867,4514
,,,2015,98,3M,31821,4956
,,,2015,99,Sears Holdings,31198,-1682
,,,2015,100,General Dynamics,30852,2533
,,,2015,101,Publix Super Markets,30803,1735
,,,2015,102,Philip Morris International,29767,7493
,,,2015,103,TJX,29078,2215
,,,2015,104,Time Warner,28774,3827
,,,2015,105,Macyâ€™s,28105,1526
,,,2015,106,Nike,27799,2693
,,,2015,107,Tech Data,27671,175
,,,2015,108,Avnet,27500,546
,,,2015,109,Northwestern Mutual,27465,679
,,,2015,110,McDonaldâ€™s,27441,4758
,,,2015,111,Exelon,27429,1623
,,,2015,112,Travelers Cos.,27162,3692
,,,2015,113,Qualcomm,26487,7967
,,,2015,114,International Paper,26221,555
,,,2015,115,Occidental Petroleum,25898,616
,,,2015,116,Duke Energy,25673,1883
,,,2015,117,Rite Aid,25526,249
,,,2015,118,Gilead Sciences,24890,12101
,,,2015,119,Baker Hughes,24551,1719
,,,2015,120,Emerson Electric,24537,2147
,,,2015,121,EMC,24440,2714
,,,2015,122,USAA,24033,3410
,,,2015,123,Union Pacific,23988,5180
,,,2015,124,Northrop Grumman,23979,2069
,,,2015,125,Alcoa,23906,268
,,,2015,126,Capital One Financial,23877,4428
,,,2015,127,National Oilwell Varco,23141,2502
,,,2015,128,US Foods,23020,-73
,,,2015,129,Raytheon,22826,2244
,,,2015,130,Time Warner Cable,22812,2031
,,,2015,131,Arrow Electronics,22769,498
,,,2015,132,Aflac,22728,2951
,,,2015,133,Staples,22492,135
,,,2015,134,Abbott Laboratories,22323,2284
,,,2015,135,Community Health Systems,21987,92
,,,2015,136,Fluor,21532,511
,,,2015,137,Freeport-McMoRan,21438,-1308
,,,2015,138,U.S. Bancorp,21392,5851
,,,2015,139,Nucor,21105,714
,,,2015,140,Kimberly-Clark,21044,1526
,,,2015,141,Hess,21015,2317
,,,2015,142,Chesapeake Energy,20951,1917
,,,2015,143,Xerox,20905,969
,,,2015,144,ManpowerGroup,20763,428
,,,2015,145,Amgen,20063,5158
,,,2015,146,AbbVie,19960,1774
,,,2015,147,Danaher,19914,2598
,,,2015,148,Whirlpool,19872,650
,,,2015,149,PBF Energy,19828,-38
,,,2015,150,HollyFrontier,19764,281
,,,2015,151,Eli Lilly,19616,2391
,,,2015,152,Devon Energy,19566,1607
,,,2015,153,Progressive,19391,1281
,,,2015,154,Cummins,19221,1651
,,,2015,155,Icahn Enterprises,19157,-373
,,,2015,156,AutoNation,19109,419
,,,2015,157,Kohlâ€™s,19023,867
,,,2015,158,Paccar,18997,1359
,,,2015,159,Dollar General,18910,1065
,,,2015,160,Hartford Financial Services Group,18847,798
,,,2015,161,Southwest Airlines,18605,1136
,,,2015,162,Anadarko Petroleum,18470,-1750
,,,2015,163,Southern,18467,1963
,,,2015,164,Supervalu,18390,182
,,,2015,165,Kraft Foods Group,18205,1043
,,,2015,166,Goodyear Tire & Rubber,18138,2452
,,,2015,167,EOG Resources,18035,2916
,,,2015,168,CenturyLink,18031,772
,,,2015,169,Altria Group,17945,5070
,,,2015,170,Tenet Healthcare,17924,12
,,,2015,171,General Mills,17910,1824
,,,2015,172,eBay,17902,46
,,,2015,173,ConAgra Foods,17773,303
,,,2015,174,Lear,17727,672
,,,2015,175,TRW Automotive Holdings,17539,293
,,,2015,176,United States Steel,17507,102
,,,2015,177,Penske Automotive Group,17439,287
,,,2015,178,AES,17378,769
,,,2015,179,Colgate-Palmolive,17277,2180
,,,2015,180,Global Partners,17270,115
,,,2015,181,Thermo Fisher Scientific,17100,1894
,,,2015,182,PG&E Corp.,17090,1436
,,,2015,183,NextEra Energy,17021,2465
,,,2015,184,American Electric Power,17020,1634
,,,2015,185,Baxter International,16972,2497
,,,2015,186,Centene,16588,271
,,,2015,187,Starbucks,16448,2068
,,,2015,188,Gap,16435,1262
,,,2015,189,Bank of New York Mellon Corp.,16386,2567
,,,2015,190,Micron Technology,16358,3045
,,,2015,191,Jabil Circuit,16349,241
,,,2015,192,PNC Financial Services Group,16281,4184
,,,2015,193,Kinder Morgan,16226,1026
,,,2015,194,Office Depot,16096,-354
,,,2015,195,Bristol-Myers Squibb,15879,2004
,,,2015,196,NRG Energy,15868,134
,,,2015,197,Monsanto,15855,2740
,,,2015,198,PPG Industries,15607,2102
,,,2015,199,Genuine Parts,15342,711
,,,2015,200,Omnicom Group,15318,1104
,,,2015,201,Illinois Tool Works,15282,2946
,,,2015,202,Murphy USA,15279,244
,,,2015,203,Land Oâ€™Lakes,15199,267
,,,2015,204,Western Refining,15154,560
,,,2015,205,Western Digital,15130,1617
,,,2015,206,FirstEnergy,15054,299
,,,2015,207,Aramark,14833,149
,,,2015,208,DISH Network,14643,945
,,,2015,209,Las Vegas Sands,14584,2841
,,,2015,210,Kellogg,14580,632
,,,2015,211,Loews,14572,591
,,,2015,212,CBS,14483,2959
,,,2015,213,Ecolab,14281,1203
,,,2015,214,Whole Foods Market,14194,579
,,,2015,215,Chubb,14098,2100
,,,2015,216,Health Net,14009,146
,,,2015,217,Waste Management,13996,1298
,,,2015,218,Apache,13938,-5403
,,,2015,219,Textron,13878,600
,,,2015,220,Synnex,13840,180
,,,2015,221,Marriott International,13796,753
,,,2015,222,Viacom,13783,2391
,,,2015,223,Lincoln National,13554,1515
,,,2015,224,Nordstrom,13506,720
,,,2015,225,C.H. Robinson Worldwide,13470,450
,,,2015,226,Edison International,13413,1612
,,,2015,227,Marathon Oil,13297,3046
,,,2015,228,Yum Brands,13279,1051
,,,2015,229,Computer Sciences,13233,674
,,,2015,230,Parker-Hannifin,13216,1041
,,,2015,231,DaVita HealthCare Partners,13162,723
,,,2015,232,CarMax,13122,493
,,,2015,233,Texas Instruments,13045,2821
,,,2015,234,WellCare Health Plans,12960,64
,,,2015,235,Marsh & McLennan,12951,1465
,,,2015,236,Consolidated Edison,12919,1092
,,,2015,237,Oneok,12836,314
,,,2015,238,Visa,12702,5438
,,,2015,239,Jacobs Engineering Group,12695,328
,,,2015,240,CSX,12669,1927
,,,2015,241,Entergy,12495,941
,,,2015,242,Facebook,12466,2940
,,,2015,243,Dominion Resources,12436,1310
,,,2015,244,Leucadia National,12407,208
,,,2015,245,Toys â€œRâ€ Us,12361,-292
,,,2015,246,DTE Energy,12301,905
,,,2015,247,Ameriprise Financial,12296,1619
,,,2015,248,VF,12282,1048
,,,2015,249,Praxair,12273,1694
,,,2015,250,J.C. Penney,12257,-771
,,,2015,251,Automatic Data Processing,12220,1516
,,,2015,252,L-3 Communications,12124,664
,,,2015,253,CDW,12075,245
,,,2015,254,Guardian Life Ins. Co. of America,11909,445
,,,2015,255,Xcel Energy,11686,1021
,,,2015,256,Norfolk Southern,11624,2000
,,,2015,257,PPL,11616,1737
,,,2015,258,R.R. Donnelley & Sons,11603,117
,,,2015,259,Huntsman,11578,323
,,,2015,260,Bed Bath & Beyond,11504,1022
,,,2015,261,Stanley Black & Decker,11457,761
,,,2015,262,L Brands,11454,1042
,,,2015,263,Liberty Interactive,11382,537
,,,2015,264,Farmers Insurance Exchange,11318,3
,,,2015,265,First Data,11152,-458
,,,2015,266,Sherwin-Williams,11130,866
,,,2015,267,BlackRock,11081,3294
,,,2015,268,Voya Financial,11071,2300
,,,2015,269,Ross Stores,11042,925
,,,2015,270,Sempra Energy,11035,1161
,,,2015,271,Estee Lauder,10969,1204
,,,2015,272,H.J. Heinz,10922,657
,,,2015,273,Reinsurance Group of America,10904,684
,,,2015,274,Public Service Enterprise Group,10886,1518
,,,2015,275,Cameron International,10809,811
,,,2015,276,Navistar International,10806,-619
,,,2015,277,CST Brands,10777,200
,,,2015,278,State Street Corp.,10687,2037
,,,2015,279,Unum Group,10510,413
,,,2015,280,Hilton Worldwide Holdings,10502,673
,,,2015,281,Family Dollar Stores,10489,285
,,,2015,282,Principal Financial,10478,1144
,,,2015,283,Reliance Steel & Aluminum,10452,372
,,,2015,284,Air Products & Chemicals,10448,992
,,,2015,285,Assurant,10382,471
,,,2015,286,Peter Kiewit Sonsâ€™,10380,350
,,,2015,287,Henry Schein,10371,466
,,,2015,288,Cognizant Technology Solutions,10263,1439
,,,2015,289,MGM Resorts International,10082,-150
,,,2015,290,W.W. Grainger,9965,802
,,,2015,291,Group 1 Automotive,9938,93
,,,2015,292,BB&T Corp.,9926,2151
,,,2015,293,WestRock,9895,480
,,,2015,294,Advance Auto Parts,9844,494
,,,2015,295,Ally Financial,9790,1150
,,,2015,296,AGCO,9724,410
,,,2015,297,Corning,9715,2472
,,,2015,298,Biogen,9703,2935
,,,2015,299,NGL Energy Partners,9699,48
,,,2015,300,Stryker,9675,515
,,,2015,301,Molina Healthcare,9667,62
,,,2015,302,Precision Castparts,9640,1777
,,,2015,303,Discover Financial Services,9611,2323
,,,2015,304,Genworth Financial,9565,-1244
,,,2015,305,Eastman Chemical,9527,751
,,,2015,306,Dean Foods,9503,-20
,,,2015,307,AutoZone,9475,1070
,,,2015,308,MasterCard,9473,3617
,,,2015,309,Owens & Minor,9440,67
,,,2015,310,Hormel Foods,9316,603
,,,2015,311,GameStop,9296,393
,,,2015,312,Autoliv,9241,468
,,,2015,313,CenterPoint Energy,9226,611
,,,2015,314,Fidelity National Financial,9199,583
,,,2015,315,Sonic Automotive,9197,97
,,,2015,316,HD Supply Holdings,9167,3
,,,2015,317,Charter Communications,9108,-183
,,,2015,318,Crown Holdings,9097,387
,,,2015,319,Applied Materials,9072,1072
,,,2015,320,Mosaic,9056,1029
,,,2015,321,CBRE Group,9050,485
,,,2015,322,Avon Products,8851,-389
,,,2015,323,Republic Services,8788,548
,,,2015,324,Universal Health Services,8764,545
,,,2015,325,Darden Restaurants,8758,286
